pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
65910,"Norse mythology; or, The religion of our forefathers, containing all the myths of the Eddas, systematized and interpreted","Anderson, Rasmus Björn, 1846-1936",1846,1936,BL,"Tales, Medieval; Mythology, Norse; Old Norse literature; Northmen -- Religion","Category: Mythology, Legends & Folklore; Category: History - Other",807902,136932
68714,History of the Sabbath and first day of the week,"Andrews, John Nevins, 1829-1883",1829,1883,BV,Sunday; Seventh-Day Adventists -- Doctrines; Sabbath,Category: History - Ancient; Category: History - Religious; Category: Religion/Spirituality,1072998,181864
34941,Bygone Church Life in Scotland,"Andrews, William, 1848-1908 [Editor]",1848,1908,BX,Scotland -- Church history,Category: History - British; Category: History - Religious,370376,62775
38182,Curious Church Customs and Cognate Subjects,"Andrews, William, 1848-1908 [Editor]",1848,1908,BR,Manners and customs; Rites and ceremonies -- Great Britain,Category: History - Religious,370848,62855
36504,"Freshwater Sponges, Hydroids & Polyzoa","Annandale, Nelson, 1876-1924",1876,1924,QL,Freshwater animals -- India; Freshwater animals -- Sri Lanka; Freshwater animals -- Burma,Animal; Animals-Wild; Category: Science - Biology,632635,107226
29724,"Trees of the Northern United States | Their Study, Description and Determination","Apgar, A. C. (Austin Craig), 1838-1908",1838,1908,QK,Trees -- North America,Category: Science - Biology; Category: Nature/Gardening/Animals; Category: Teaching & Education,394073,66792
79181,Chemistry,"Appleton, John Howard, 1844-1930",1844,1930,QD,Chemistry,,393839,66752
16775,Biographies of distinguished scientific men. First series,"Arago, F. (François), 1786-1853",1786,1853,Q,Scientists -- Biography,Category: Biographies; Category: History - Modern (1750+); Category: Science - Physics; Category: Science - Chemistry/Biochemistry; Category: Science - Biology,835641,141634
50973,"""About My Father's Business"": Work Amidst the Sick, the Sad, and the Sorrowing","Archer, Thomas, 1830-1893",1830,1893,BV,Pastoral theology,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics; Category: Religion/Spirituality; Category: Sociology",582705,98763
43002,The Church of Grasmere: A History,"Armitt, Mary L. (Mary Louisa), 1851-1911",1851,1911,BX,"St. Oswald's Church (Grasmere, England)",Category: History - British; Category: History - Religious,411174,69690
73117,"Names and places in the Old and New Testament and Apocrypha, with their modern identifications","Armstrong, George, 1843-1910 [Compiler]",1843,1910,BS,"Bible -- Geography; Names, Geographical; Names in the Bible",Category: History - Religious; Category: Religion/Spirituality; Category: Encyclopedias/Dictionaries/Reference,793506,134492
47971,Field Book of Western Wild Flowers,"Armstrong, Margaret, 1867-1944",1867,1944,QK,Flowers -- West (U.S.); Flowers -- West (U.S.) -- Pictorial works,Category: Nature/Gardening/Animals,776058,131535
43946,"The Sea-beach at Ebb-tide | A Guide to the Study of the Seaweeds and the Lower Animal Life Found Between Tide-marks","Arnold, Augusta Foote, 1844-1903",1844,1903,QH,Marine animals; Marine plants; Seashore biology; Marine algae,Category: Science - Biology; Category: Nature/Gardening/Animals,1075061,182213
64488,Roman Stoicism | being lectures on the history of the Stoic philosophy with special reference to its development within the Roman Empire,"Arnold, Edward Vernon, 1857-1926",1857,1926,B,Stoics,Category: History - Ancient; Category: Philosophy & Ethics; Category: Religion/Spirituality,1256768,213011
66960,The Preaching of Islam: A History of the Propagation of the Muslim Faith,"Arnold, Thomas Walker, Sir, 1864-1930",1864,1930,BP,Islam -- Relations; Islam -- History; Islam -- Missions -- History,Category: History - Religious; Category: Religion/Spirituality,1136487,192624
