pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
1290,Salammbo,"Flaubert, Gustave, 1821-1880",1821,1880,PQ,Historical fiction; Carthage (Extinct city) -- History -- Fiction,Historical Fiction; Banned Books from Anne Haight's list,645595,109422
5719,Janice Meredith: A Story of the American Revolution,"Ford, Paul Leicester, 1865-1902",1865,1902,PS,"United States -- History -- Revolution, 1775-1783 -- Fiction","Bestsellers, American, 1895-1923",1067698,180965
14532,The Honorable Peter Stirling and What People Thought of Him,"Ford, Paul Leicester, 1865-1902",1865,1902,PS,New York (N.Y.) -- Fiction; Love stories; Political fiction; Tenement houses -- Fiction; Labor movement -- Fiction,"Bestsellers, American, 1895-1923",911951,154567
5145,The Heart of the Hills,"Fox, John, Jr., 1862-1919",1862,1919,PS,Bildungsromans; Kentucky -- Fiction; Mountain life -- Fiction; Cumberland Mountains -- Fiction; Environmental protection -- Fiction,"Bestsellers, American, 1895-1923",528291,89540
2059,The Little Shepherd of Kingdom Come,"Fox, John, Jr., 1862-1919",1862,1919,PS,"Historical fiction; War stories; Mountain life -- Fiction; Cumberland Mountains -- Fiction; Kentucky -- History -- Civil War, 1861-1865 -- Fiction","US Civil War; Bestsellers, American, 1895-1923",525882,89132
50670,Clio,"France, Anatole, 1844-1924",1844,1924,DC; PQ,"France -- Social life and customs -- Fiction; Château de Vaux-le-Vicomte (Maincy, France)",Nobel Prizes in Literature,348679,59098
133,The Damnation of Theron Ware,"Frederic, Harold, 1856-1898",1856,1898,PS,Psychological fiction; Clergy -- Fiction; New York (State) -- Fiction; Belief and doubt -- Fiction; Methodists -- Fiction,"Bestsellers, American, 1895-1923",707359,119891
298,The Market-Place,"Frederic, Harold, 1856-1898",1856,1898,PS,England -- Fiction; Swindlers and swindling -- Fiction; Nobility -- Fiction; Capitalists and financiers -- Fiction; Stock exchanges -- Fiction; Jews -- Fiction,"Bestsellers, American, 1895-1923",713731,120971
2453,Beyond,"Galsworthy, John, 1867-1933",1867,1933,PR,Young women -- Fiction; Married women -- Fiction; Man-woman relationships -- Fiction; Marriage -- Fiction; England -- Social life and customs -- 20th century -- Fiction; Upper class families -- England -- Fiction,Nobel Prizes in Literature,684094,115948
2773,Fraternity,"Galsworthy, John, 1867-1933",1867,1933,PR,London (England) -- Fiction; England -- Social life and customs -- 20th century -- Fiction; Upper class families -- England -- Fiction,Nobel Prizes in Literature,574367,97350
73838,The Vatican swindle,"Gide, André, 1869-1951",1869,1951,PQ,Detective and mystery stories; French fiction -- Translations into English,Nobel Prizes in Literature,455489,77201
32,Herland,"Gilman, Charlotte Perkins, 1860-1935",1860,1935,PS,Utopias -- Fiction; Women -- Fiction; Utopian fiction; Black humor,Best Books Ever Listings,328585,55692
14571,Life and Gabriella: The Story of a Woman's Courage,"Glasgow, Ellen Anderson Gholson, 1873-1945",1873,1945,PS,Man-woman relationships -- Fiction; Virginia -- Fiction,"Bestsellers, American, 1895-1923",886758,150297
2384,The Deliverance: A Romance of the Virginia Tobacco Fields,"Glasgow, Ellen Anderson Gholson, 1873-1945",1873,1945,PS,Virginia -- Fiction; Tobacco farmers -- Fiction,"Bestsellers, American, 1895-1923",773342,131074
10959,The Visits of Elizabeth,"Glyn, Elinor, 1864-1943",1864,1943,PR,Young women -- Fiction; Epistolary fiction; Aristocracy (Social class) -- Fiction,"Bestsellers, American, 1895-1923",330557,56026
1081,Dead Souls,"Gogol, Nikolai Vasilevich, 1809-1852",1809,1852,PG,Satire; Humorous stories; Russia -- Social life and customs -- 1533-1917 -- Fiction; Swindlers and swindling -- Russia -- Fiction,Best Books Ever Listings,856911,145239
14730,The Redemption of David Corson,"Goss, Charles Frederic, 1852-1930",1852,1930,PS,Society of Friends -- Fiction,"Bestsellers, American, 1895-1923",598825,101495
289,The Wind in the Willows,"Grahame, Kenneth, 1859-1932",1859,1932,PR; PZ,Fantasy fiction; Animals -- Fiction; Humorous stories; England -- Fiction; Friendship -- Fiction; Pastoral fiction; Country life -- Fiction; River life -- Fiction,Children's Literature; Best Books Ever Listings,358358,60738
14645,Unleavened Bread,"Grant, Robert, 1852-1940",1852,1940,PS,United States -- Social life and customs -- Fiction,"Bestsellers, American, 1895-1923",732055,124077
10201,The Desert of Wheat,"Grey, Zane, 1872-1939",1872,1939,PS,"World War, 1914-1918 -- Fiction; War stories","Western; Bestsellers, American, 1895-1923",696435,118039
1027,The Lone Star Ranger: A Romance of the Border,"Grey, Zane, 1872-1939",1872,1939,PS,Western stories; Mexican-American Border Region -- Fiction,"Western; Bestsellers, American, 1895-1923",564564,95688
2166,King Solomon's Mines,"Haggard, H. Rider (Henry Rider), 1856-1925",1856,1925,PR,"Africa -- Fiction; Missing persons -- Fiction; Adventure stories; Treasure troves -- Fiction; Hunting guides -- Fiction; Diamond mines and mining -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction",Adventure; Best Books Ever Listings; Movie Books,480174,81385
3155,She,"Haggard, H. Rider (Henry Rider), 1856-1925",1856,1925,PR,Africa -- Fiction; Fantasy fiction; Love stories; Adventure stories; Ayesha (Fictitious character : Haggard) -- Fiction; Immortalism -- Fiction; Reincarnation -- Fiction; Women -- Africa -- Fiction,Adventure; Best Books Ever Listings; Movie Books,705171,119520
10984,Growth of the Soil,"Hamsun, Knut, 1859-1952",1859,1952,PT,Norway -- Fiction,Nobel Prizes in Literature,797702,135203
8387,Hunger,"Hamsun, Knut, 1859-1952",1859,1952,PT,Authors -- Fiction; Norway -- Fiction; Hunger -- Fiction; Starvation -- Fiction; Urban poor -- Fiction,Best Books Ever Listings; Nobel Prizes in Literature,382648,64855
34297,Angela's Business,"Harrison, Henry Sydnor, 1880-1930",1880,1930,PS,Fiction,"Bestsellers, American, 1895-1923",658616,111629
14303,Queed: A Novel,"Harrison, Henry Sydnor, 1880-1930",1880,1930,PS,Fiction,"Bestsellers, American, 1895-1923",836211,141730
17241,Atlantis,"Hauptmann, Gerhart, 1862-1946",1862,1946,PT,Fiction,Nobel Prizes in Literature,716789,121489
77,The House of the Seven Gables,"Hawthorne, Nathaniel, 1804-1864",1804,1864,PS,Historical fiction; Domestic fiction; Paranormal fiction; Haunted houses -- Fiction; Salem (Mass.) -- Fiction,Best Books Ever Listings,649593,110100
75201,A farewell to arms,"Hemingway, Ernest, 1899-1961",1899,1961,PS,"World War, 1914-1918 -- Fiction; War stories; Man-woman relationships -- Fiction; Military deserters -- Fiction; Military hospitals -- Fiction; Soldiers -- United States -- Fiction; War wounds -- Fiction; World War, 1914-1918 -- Campaigns -- Italy -- Fiction; World War, 1914-1918 -- Medical care -- Fiction",Nobel Prizes in Literature,525518,89070
67138,The Sun Also Rises,"Hemingway, Ernest, 1899-1961",1899,1961,PS,"Americans -- France -- Fiction; Americans -- Spain -- Fiction; Ashley, Brett (Fictitious character) -- Fiction; Expatriation -- Fiction; Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction",Nobel Prizes in Literature,413336,70056
14813,The Life and Death of Richard Yea-and-Nay,"Hewlett, Maurice, 1861-1923",1861,1923,PR,"Richard I, King of England, 1157-1199 -- Fiction","Historical Fiction; Bestsellers, American, 1895-1923",617476,104656
4603,In the Wilderness,"Hichens, Robert, 1864-1950",1864,1950,PR,Married people -- Fiction; Triangles (Interpersonal relations) -- Fiction; Man-woman relationships -- Fiction; English fiction -- 20th century,"Bestsellers, American, 1895-1923",1326005,224746
3637,The Garden of Allah,"Hichens, Robert, 1864-1950",1864,1950,PR,"Love stories; Married women -- Fiction; British -- Africa, North -- Fiction; Africa, North -- Fiction","Bestsellers, American, 1895-1923",1148624,194682
41822,Phroso: A Romance,"Hope, Anthony, 1863-1933",1863,1933,PR,Islands -- Fiction; Love stories; Adventure stories; British -- Foreign countries -- Fiction,"Bestsellers, American, 1895-1923",569199,96474
20328,Simon Dale,"Hope, Anthony, 1863-1933",1863,1933,PR,"Great Britain -- History -- Charles II, 1660-1685 -- Fiction","Bestsellers, American, 1895-1923",624873,105910
14355,54-40 or Fight,"Hough, Emerson, 1857-1923",1857,1923,PS,Historical fiction; Oregon Territory -- History -- Fiction; United States -- History -- 1815-1861 -- Fiction,"Bestsellers, American, 1895-1923",513324,87004
