pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
14001,"The Mississippi Bubble | How the Star of Good Fortune Rose and Set and Rose Again, by a Woman's Grace, for One John Law of Lauriston","Hough, Emerson, 1857-1923",1857,1923,PS,"Law, John, 1671-1729 -- Fiction","Bestsellers, American, 1895-1923",545076,92385
135,Les Misérables,"Hugo, Victor, 1802-1885",1802,1885,PQ,Historical fiction; Orphans -- Fiction; Paris (France) -- Fiction; Epic literature; Ex-convicts -- Fiction,Historical Fiction; Banned Books from Anne Haight's list,3369207,571052
2610,Notre-Dame de Paris,"Hugo, Victor, 1802-1885",1802,1885,PQ,"Historical fiction; People with disabilities -- Fiction; France -- History -- Louis XI, 1461-1483 -- Fiction; Clergy -- Fiction; Man-woman relationships -- Fiction; Paris (France) -- History -- To 1515 -- Fiction; Notre-Dame de Paris (Cathedral) -- Fiction; Romances",Harvard Classics; Movie Books; Banned Books from Anne Haight's list,1230408,208543
7031,The Sheik: A Novel,"Hull, E. M. (Edith Maude), 1880-1947",1880,1947,PR,Love stories; British -- Egypt -- Fiction; Egypt -- Fiction; Kidnapping -- Fiction,"Bestsellers, American, 1895-1923",513403,87017
14145,If Winter Comes,"Hutchinson, A. S. M. (Arthur Stuart-Menteth), 1880-1971",1880,1971,PR,Fiction,"Bestsellers, American, 1895-1923",676759,114704
6415,This Freedom,"Hutchinson, A. S. M. (Arthur Stuart-Menteth), 1880-1971",1880,1971,PR,Marriage -- Fiction; Women -- Social and moral questions -- Fiction,"Bestsellers, American, 1895-1923",654261,110891
13944,"After London; Or, Wild England","Jefferies, Richard, 1848-1887",1848,1887,PR,Science fiction; England -- Fiction; Dystopias -- Fiction; Apocalyptic fiction; Regression (Civilization) -- Fiction,Precursors of Science Fiction; Best Books Ever Listings; United Kingdom,495565,83994
308,Three men in a boat (to say nothing of the dog),"Jerome, Jerome K. (Jerome Klapka), 1859-1927",1859,1927,PR,"Young men -- Travel -- England -- Thames River -- Fiction; Boats and boating -- England -- Thames River -- Fiction; Dogs -- Fiction; Humorous stories, English; Thames River (England) -- Fiction; Male friendship -- Fiction",Best Books Ever Listings; Humor,394007,66780
36355,The Salamander,"Johnson, Owen, 1878-1952",1878,1952,PS,Young women -- Fiction; Man-woman relationships -- Fiction; New York (N.Y.) -- Social life and customs -- 20th century -- Fiction,"Bestsellers, American, 1895-1923",772759,130976
14513,Audrey,"Johnston, Mary, 1870-1936",1870,1936,PS,"Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction","Bestsellers, American, 1895-1923",705954,119653
14697,Lewis Rand,"Johnston, Mary, 1870-1936",1870,1936,PS,"United States -- History -- Constitutional period, 1789-1809 -- Fiction","Bestsellers, American, 1895-1923",889400,150745
4300,Ulysses,"Joyce, James, 1882-1941",1882,1941,PR,City and town life -- Fiction; Psychological fiction; Domestic fiction; Married people -- Fiction; Male friendship -- Fiction; Dublin (Ireland) -- Fiction; Epic literature; Artists -- Fiction; Jewish men -- Fiction; Alienation (Social psychology) -- Fiction,Best Books Ever Listings; Erotic Fiction; Banned Books from Anne Haight's list; Banned Books List from the American Library Association,1586344,268871
