pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
514,Little Women,"Alcott, Louisa May, 1832-1888",1832,1888,PS,Autobiographical fiction; Young women -- Fiction; Sisters -- Fiction; Domestic fiction; Family life -- New England -- Fiction; New England -- Fiction; Bildungsromans; Mothers and daughters -- Fiction; March family (Fictitious characters) -- Fiction,Children's Literature; Category: Novels; Category: Classics of Literature; Category: American Literature,1071405,181594
28203,Moods,"Alcott, Louisa May, 1832-1888",1832,1888,PS,Young women -- Fiction,Category: Romance; Category: Novels; Category: American Literature,504899,85576
2804,"Rose in Bloom | A Sequel to ""Eight Cousins""","Alcott, Louisa May, 1832-1888",1832,1888,PS,Orphans -- Fiction; Family life -- Fiction; Cousins -- Fiction,Children's Literature; Category: Novels; Category: American Literature,543463,92112
4770,Work: A Story of Experience,"Alcott, Louisa May, 1832-1888",1832,1888,PS,Young women -- Fiction; Bildungsromans; Feminist fiction; Women -- Employment -- Fiction,Category: Novels; Category: American Literature,693783,117590
78043,Bushy,"Alden, Cynthia May Westover, 1862-1931",1862,1931,PS,Historical fiction; Fathers and daughters -- Fiction; Girls -- Fiction; Miners -- Fiction; Frontier and pioneer life -- Rocky Mountains -- Fiction,,417573,70775
76571,Death of a hero,"Aldington, Richard, 1892-1962",1892,1962,PR,"World War, 1914-1918 -- Fiction; War stories",Category: Historical Novels; Category: Novels; Category: British Literature,772434,130921
5705,"The Queen of Sheba, and My Cousin the Colonel","Aldrich, Thomas Bailey, 1836-1907",1836,1907,PS,Fiction,Category: Adventure; Category: Novels; Category: American Literature,368349,62432
5435,The Stillwater Tragedy,"Aldrich, Thomas Bailey, 1836-1907",1836,1907,PS,Mystery fiction,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",390401,66169
60059,"The Lunarian Professor and His Remarkable Revelations Concerning the Earth, the Moon and Mars | Together with An Account of the Cruise of the Sally Ann","Alexander, James B. (James Bradun), 1831-1914",1831,1914,PS,Utopias -- Fiction; Human-alien encounters -- Fiction; Life on other planets -- Fiction,Category: Science-Fiction & Fantasy; Category: Humour; Category: Novels,485639,82311
18418,A Crooked Path: A Novel,"Alexander, Mrs., 1825-1902",1825,1902,PR,Inheritance and succession -- Fiction; England -- Social life and customs -- Fiction,Category: Novels; Category: British Literature,943745,159956
49714,At Bay,"Alexander, Mrs., 1825-1902",1825,1902,PR,Fiction,Category: Romance; Category: Novels,408595,69253
41740,Ralph Wilton's weird,"Alexander, Mrs., 1825-1902",1825,1902,PR,Inheritance and succession -- Fiction; Mate selection -- Fiction; Courtship -- Fiction; Social classes -- England -- Fiction,Category: Romance; Category: Novels; Category: British Literature,351730,59615
293,Paul Prescott's Charge,"Alger, Horatio, Jr., 1832-1899",1832,1899,PZ; PS,Orphans -- Fiction; Runaway teenagers -- Fiction; Conduct of life -- Fiction; New York (N.Y.) -- History -- 19th century -- Fiction,Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature,366315,62087
5673,"The Young Musician; Or, Fighting His Way","Alger, Horatio, Jr., 1832-1899",1832,1899,PZ; PS,Conduct of life -- Fiction; Adventure and adventurers -- Fiction; Musicians -- Fiction; East (U.S.) -- History -- 19th century -- Fiction,Children's Fiction; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature,327812,55561
67823,The Lone Trail,"Allan, Luke, 1877-1962",1877,1962,PS,"Cattle stealing -- Fiction; Newspaper editors -- Fiction; North West Mounted Police (Canada) -- Fiction; Canada, Western -- Fiction","Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels",383681,65030
25230,The Return of Blue Pete,"Allan, Luke, 1877-1962",1877,1962,PS,Indians of North America -- Fiction; Canada -- Fiction; Royal Canadian Mounted Police -- Fiction,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels",373621,63325
79286,Despised and rejected,"Allatini, R., 1890-1980",1890,1980,PR,Lesbians -- Fiction,,553729,93852
4903,"Hilda Wade, a Woman with Tenacity of Purpose","Allen, Grant, 1848-1899",1848,1899,PR,Detective and mystery stories; London (England) -- Fiction; Nurses -- Fiction,Category: Novels,531579,90098
