file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
kipling_junglebook.txt,14,49522,0.7713,0.8044,0.6666,0.495,0.4875,0.018
kipling_junglebook.txt,15,49522,0.7713,0.8044,0.6653,0.4972,0.4932,0.0124
kipling_junglebook.txt,16,49522,0.7713,0.8044,0.6621,0.5087,0.4944,0.0186
kipling_junglebook.txt,17,49522,0.7713,0.8044,0.6396,0.5145,0.5002,0.0126
kipling_junglebook.txt,18,49522,0.7713,0.8044,0.6552,0.5016,0.4997,0.0183
kipling_junglebook.txt,19,49522,0.7713,0.8044,0.6305,0.4999,0.4942,0.0102
kipling_junglebook.txt,20,49522,0.7713,0.8044,0.5703,0.4816,0.5043,0.0154
olivertwist_cut_clean.txt,1,59729,0.7109,0.7581,0.6525,0.5142,0.4947,0.0109
olivertwist_cut_clean.txt,2,59729,0.7109,0.7581,0.6932,0.4809,0.5021,0.0172
olivertwist_cut_clean.txt,3,59729,0.7109,0.7581,0.7064,0.4784,0.4981,0.0144
olivertwist_cut_clean.txt,4,59729,0.7109,0.7581,0.7051,0.5369,0.5055,0.0129
olivertwist_cut_clean.txt,5,59729,0.7109,0.7581,0.6345,0.4932,0.5034,0.0183
olivertwist_cut_clean.txt,6,59729,0.7109,0.7581,0.7267,0.4978,0.5006,0.0092
olivertwist_cut_clean.txt,7,59729,0.7109,0.7581,0.6038,0.4863,0.5063,0.0166
olivertwist_cut_clean.txt,8,59729,0.7109,0.7581,0.6495,0.4831,0.499,0.0119
olivertwist_cut_clean.txt,9,59729,0.7109,0.7581,0.6335,0.5138,0.4945,0.0095
olivertwist_cut_clean.txt,10,59729,0.7109,0.7581,0.6581,0.5296,0.4998,0.0077
olivertwist_cut_clean.txt,11,59729,0.7109,0.7581,0.5632,0.5059,0.4894,0.0187
olivertwist_cut_clean.txt,12,59729,0.7109,0.7581,0.6296,0.4984,0.4987,0.0084
olivertwist_cut_clean.txt,13,59729,0.7109,0.7581,0.6351,0.4939,0.5003,0.0192
